FPR	TPR	Threshold
0.000172	0.017259	16025387872.267849
0.000172	0.017265	16025387872.260969
0.000173	0.017265	16025387872.259666
0.000173	0.017268	16025387872.258265
0.000173	0.017268	16025387872.254036
0.000173	0.017274	16025387872.249489
0.000174	0.017274	16025387872.244022
0.000174	0.017277	16025387872.242117
0.000174	0.017277	16025387872.241238
0.000174	0.017286	16025387872.231928
0.000175	0.017286	16025387872.226835
0.000175	0.017299	16025387872.213821
0.000177	0.017299	16025387872.210100
0.000177	0.017305	16025387872.204384
0.000177	0.017305	16025387872.197994
0.000177	0.017311	16025387872.194942
0.000178	0.017311	16025387872.192724
0.000178	0.017317	16025387872.185501
0.000178	0.017317	16025387872.182858
0.000178	0.017320	16025387872.179203
0.000179	0.017320	16025387872.176571
0.000179	0.017326	16025387872.170404
0.000180	0.017326	16025387872.167961
0.000180	0.017332	16025387872.161608
0.000180	0.017332	16025387872.158157
0.000180	0.017338	16025387872.152811
0.000181	0.017338	16025387872.152658
0.000181	0.017344	16025387872.144007
0.000181	0.017344	16025387872.141233
0.000181	0.017347	16025387872.138247
0.000182	0.017347	16025387872.137579
0.000182	0.017356	16025387872.126398
0.000183	0.017356	16025387872.121452
0.000183	0.017368	16025387872.108776
0.000184	0.017368	16025387872.104774
0.000184	0.017380	16025387872.090923
0.000185	0.017380	16025387872.088682
0.000185	0.017389	16025387872.073511
0.000186	0.017389	16025387872.072241
0.000186	0.017392	16025387872.071980
0.000187	0.017392	16025387872.071178
0.000187	0.017401	16025387872.055870
0.000187	0.017401	16025387872.055521
0.000187	0.017405	16025387872.053020
0.000188	0.017405	16025387872.052851
0.000188	0.017411	16025387872.043537
0.000188	0.017411	16025387872.038885
0.000188	0.017414	16025387872.038219
0.000189	0.017414	16025387872.034929
0.000189	0.017423	16025387872.024559
0.000189	0.017423	16025387872.021730
0.000189	0.017426	16025387872.020552
0.000190	0.017426	16025387872.016254
0.000190	0.017435	16025387872.005577
0.000191	0.017435	16025387872.004103
0.000191	0.017438	16025387872.002880
0.000191	0.017438	16025387871.998692
0.000191	0.017447	16025387871.986580
0.000192	0.017447	16025387871.986328
0.000192	0.017450	16025387871.985203
0.000192	0.017450	16025387871.980310
0.000192	0.017456	16025387871.976358
0.000193	0.017456	16025387871.967999
0.000193	0.017462	16025387871.967516
0.000194	0.017462	16025387871.961842
0.000194	0.017468	16025387871.958065
0.000194	0.017468	16025387871.950390
0.000194	0.017474	16025387871.948557
0.000195	0.017474	16025387871.942667
0.000195	0.017483	16025387871.932110
0.000195	0.017483	16025387871.931952
0.000195	0.017486	16025387871.929523
0.000196	0.017486	16025387871.924206
0.000196	0.017495	16025387871.914396
0.000197	0.017495	16025387871.913452
0.000197	0.017501	16025387871.905537
0.000197	0.017501	16025387871.905455
0.000197	0.017508	16025387871.896673
0.000198	0.017508	16025387871.894293
0.000198	0.017514	16025387871.887804
0.000198	0.017514	16025387871.886517
0.000198	0.017520	16025387871.878941
0.000199	0.017520	16025387871.874710
0.000199	0.017526	16025387871.870070
0.000199	0.017526	16025387871.867361
0.000199	0.017532	16025387871.861197
0.000200	0.017532	16025387871.854725
0.000200	0.017538	16025387871.852325
0.000201	0.017538	16025387871.848227
0.000201	0.017544	16025387871.843449
0.000201	0.017544	16025387871.836191
0.000201	0.017550	16025387871.834227
0.000202	0.017550	16025387871.828688
0.000202	0.017559	16025387871.816811
0.000202	0.017559	16025387871.816074
0.000202	0.017562	16025387871.815132
0.000203	0.017562	16025387871.809126
0.000203	0.017574	16025387871.796026
0.000204	0.017574	16025387871.790220
0.000204	0.017586	16025387871.776918
0.000205	0.017586	16025387871.775293
0.000205	0.017589	16025387871.772364
0.000205	0.017589	16025387871.769690
0.000205	0.017601	16025387871.754572
0.000206	0.017601	16025387871.750486
0.000206	0.017614	16025387871.736773
0.000208	0.017614	16025387871.730284
0.000208	0.017626	16025387871.718962
0.000209	0.017626	16025387871.710480
0.000209	0.017644	16025387871.690765
0.000210	0.017644	16025387871.690056
0.000210	0.017656	16025387871.671593
0.000211	0.017656	16025387871.670053
0.000211	0.017668	16025387871.652411
0.000212	0.017668	16025387871.647642
0.000212	0.017683	16025387871.629784
0.000213	0.017683	16025387871.624763
0.000213	0.017695	16025387871.611919
0.000214	0.017695	16025387871.608776
0.000214	0.017701	16025387871.602987
0.000215	0.017701	16025387871.602520
0.000215	0.017707	16025387871.594049
0.000215	0.017707	16025387871.588184
0.000215	0.017713	16025387871.585112
0.000216	0.017713	16025387871.580626
0.000216	0.017723	16025387871.567226
0.000216	0.017723	16025387871.566961
0.000216	0.017729	16025387871.558279
0.000217	0.017729	16025387871.557884
0.000217	0.017738	16025387871.546698
0.000218	0.017738	16025387871.546087
0.000218	0.017744	16025387871.537077
0.000218	0.017744	16025387871.535034
0.000218	0.017750	16025387871.527447
0.000219	0.017750	16025387871.524809
0.000219	0.017759	16025387871.513521
0.000219	0.017759	16025387871.510593
0.000219	0.017765	16025387871.504564
0.000220	0.017765	16025387871.503998
0.000220	0.017774	16025387871.488905
0.000220	0.017774	16025387871.487057
0.000220	0.017777	16025387871.486643
0.000221	0.017777	16025387871.482515
0.000221	0.017789	16025387871.468710
0.000222	0.017789	16025387871.461401
0.000222	0.017807	16025387871.440672
0.000223	0.017807	16025387871.439390
0.000223	0.017819	16025387871.421356
0.000224	0.017819	16025387871.417835
0.000224	0.017823	16025387871.414864
0.000225	0.017823	16025387871.414593
0.000225	0.017835	16025387871.396894
0.000225	0.017835	16025387871.396500
0.000225	0.017838	16025387871.392361
0.000226	0.017838	16025387871.390854
0.000226	0.017847	16025387871.378922
0.000226	0.017847	16025387871.374765
0.000226	0.017853	16025387871.369932
0.000227	0.017853	16025387871.365570
0.000227	0.017862	16025387871.353676
0.000228	0.017862	16025387871.352695
0.000228	0.017871	16025387871.342949
0.000228	0.017871	16025387871.340174
0.000228	0.017877	16025387871.333944
0.000229	0.017877	16025387871.330412
0.000229	0.017886	16025387871.315941
0.000229	0.017886	16025387871.314980
0.000229	0.017889	16025387871.314938
0.000230	0.017889	16025387871.307438
0.000230	0.017901	16025387871.295559
0.000230	0.017901	16025387871.289143
0.000230	0.017904	16025387871.288914
0.000231	0.017904	16025387871.286427
0.000231	0.017919	16025387871.266462
0.000232	0.017919	16025387871.263273
0.000232	0.017935	16025387871.243834
0.000233	0.017935	16025387871.240946
0.000233	0.017938	16025387871.237343
0.000233	0.017938	16025387871.237255
0.000233	0.017947	16025387871.225784
0.000234	0.017947	16025387871.218678
0.000234	0.017953	16025387871.216755
0.000235	0.017953	16025387871.211056
0.000235	0.017965	16025387871.198479
0.000235	0.017965	16025387871.194817
0.000235	0.017971	16025387871.188755
0.000236	0.017971	16025387871.184387
0.000236	0.017977	16025387871.179026
0.000236	0.017977	16025387871.172493
0.000236	0.017989	16025387871.159571
0.000237	0.017989	16025387871.157581
0.000237	0.017995	16025387871.149839
0.000237	0.017995	16025387871.149591
0.000237	0.018004	16025387871.135410
0.000238	0.018004	16025387871.130947
0.000238	0.018010	16025387871.126358
0.000239	0.018010	16025387871.126322
0.000239	0.018022	16025387871.108253
0.000240	0.018022	16025387871.103394
0.000240	0.018038	16025387871.081076
0.000240	0.018038	16025387871.080124
0.000240	0.018041	16025387871.077478
0.000241	0.018041	16025387871.076328
0.000241	0.018044	16025387871.072020
0.000246	0.018044	16025387871.067734
0.000246	0.018047	16025387871.067036
0.000249	0.018047	16025387871.063879
0.000249	0.018050	16025387871.062948
0.000253	0.018050	16025387871.057253
0.000253	0.018053	16025387871.056591
0.000254	0.018053	16025387871.054092
0.000254	0.018056	16025387871.053886
0.000257	0.018056	16025387871.047754
0.000257	0.018059	16025387871.046143
0.000258	0.018059	16025387871.045420
0.000258	0.018062	16025387871.044817
0.000261	0.018062	16025387871.037048
0.000261	0.018068	16025387871.035692
0.000264	0.018068	16025387871.028032
0.000264	0.018074	16025387871.025238
0.000267	0.018074	16025387871.017914
0.000267	0.018080	16025387871.014778
0.000268	0.018080	16025387871.008839
0.000268	0.018083	16025387871.008518
0.000270	0.018083	16025387871.007458
0.000270	0.018086	16025387871.004318
